                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.73741,                0.37335,                 1.0256,                0.96277,                0.96296,                0.97369,                0.58762,                 1.7631,                0.56993,                 1.9845,              0.0003962,              0.0003962,              0.0003962
                     84,                0.71909,                0.36251,                 1.0094,                0.95157,                0.98765,                0.98314,                0.59552,                 1.7512,                0.54705,                 1.9524,              0.0003764,              0.0003764,              0.0003764
                     85,                0.72814,                0.36007,                 1.0039,                0.96948,                0.98037,                0.98523,                0.59888,                 1.7467,                0.54219,                 1.9861,              0.0003566,              0.0003566,              0.0003566
                     86,                0.69094,                0.34816,                0.99605,                0.96369,                0.98148,                0.97994,                0.59755,                 1.7599,                0.57045,                 2.0294,              0.0003368,              0.0003368,              0.0003368
                     87,                0.71195,                0.37028,                0.99285,                0.96948,                0.98042,                0.98636,                0.59638,                 1.7737,                0.58364,                 2.0069,               0.000317,               0.000317,               0.000317
                     88,                0.68238,                0.34394,                0.98351,                0.96152,                0.97531,                0.97764,                0.59344,                 1.8161,                0.58272,                 2.1076,              0.0002972,              0.0002972,              0.0002972
                     89,                0.66961,                 0.3407,                0.97867,                0.96866,                0.96914,                  0.979,                0.58855,                 1.8054,                0.63023,                 2.0554,              0.0002774,              0.0002774,              0.0002774
                     90,                0.68663,                0.34725,                0.99329,                0.96816,                0.97531,                0.98487,                0.59976,                 1.7715,                0.58729,                 2.0026,              0.0002576,              0.0002576,              0.0002576
                     91,                0.60594,                0.28198,                0.92821,                0.96201,                0.98148,                0.98289,                0.59533,                 1.7559,                0.53931,                 2.0277,              0.0002378,              0.0002378,              0.0002378
                     92,                0.60783,                0.27504,                0.93033,                0.96234,                0.97531,                0.98102,                0.58534,                 1.8517,                0.60827,                  2.182,               0.000218,               0.000218,               0.000218
                     93,                0.60156,                0.26449,                0.90884,                0.97545,                0.98096,                0.98704,                0.58636,                 1.8457,                0.58873,                 2.1599,              0.0001982,              0.0001982,              0.0001982
                     94,                0.57374,                 0.2612,                0.91221,                0.96932,                0.97519,                0.98073,                0.60198,                 1.7824,                0.57945,                 2.0893,              0.0001784,              0.0001784,              0.0001784
                     95,                0.58723,                0.26523,                0.93487,                0.96864,                0.98148,                0.98035,                0.58529,                 1.8044,                0.59252,                 2.1399,              0.0001586,              0.0001586,              0.0001586
