                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.74631,                0.46963,                 1.0683,                0.99928,                0.94737,                0.99024,                0.57048,                 1.5718,                0.64826,                    1.7,               0.000713,               0.000713,               0.000713
                     68,                0.69838,                0.41848,                 1.0458,                      1,                0.94732,                0.98458,                0.57866,                 1.5496,                0.63199,                 1.6725,              0.0006932,              0.0006932,              0.0006932
                     69,                0.67739,                0.43623,                 1.0306,                      1,                0.93499,                0.98458,                0.58412,                 1.5317,                0.62538,                 1.6646,              0.0006734,              0.0006734,              0.0006734
                     70,                0.73761,                0.45662,                 1.0983,                      1,                0.99578,                  0.995,                0.61063,                 1.5252,                0.60122,                  1.643,              0.0006536,              0.0006536,              0.0006536
                     71,                0.70558,                0.45662,                 1.0455,                0.94601,                      1,                   0.99,                0.60234,                 1.5819,                 0.5634,                 1.6832,              0.0006338,              0.0006338,              0.0006338
                     72,                0.66856,                0.45516,                 1.0353,                0.94588,                      1,                 0.9925,                0.59628,                 1.5507,                0.55838,                 1.6008,               0.000614,               0.000614,               0.000614
                     73,                0.67354,                0.44164,                 1.0292,                      1,                0.99539,                  0.995,                0.60268,                 1.5263,                0.56362,                  1.591,              0.0005942,              0.0005942,              0.0005942
                     74,                0.67522,                0.43416,                 1.0211,                0.94591,                      1,                   0.99,                0.59137,                   1.56,                0.57964,                  1.682,              0.0005744,              0.0005744,              0.0005744
                     75,                0.73679,                0.48345,                 1.0481,                      1,                0.98042,                  0.995,                0.60556,                 1.5519,                 0.5926,                 1.5848,              0.0005546,              0.0005546,              0.0005546
                     76,                0.70228,                 0.4682,                 1.0437,                      1,                0.99022,                  0.995,                0.60499,                 1.5581,                0.64486,                 1.5624,              0.0005348,              0.0005348,              0.0005348
                     77,                0.66529,                0.44366,                 1.0107,                      1,                0.98946,                  0.995,                0.60964,                 1.5177,                0.66694,                 1.5368,               0.000515,               0.000515,               0.000515
                     78,                0.68352,                0.44572,                 1.0221,                0.94891,                0.97823,                   0.99,                0.63258,                  1.444,                0.66508,                 1.4991,              0.0004952,              0.0004952,              0.0004952
                     79,                0.60297,                0.39761,                  0.979,                0.94694,                0.93969,                0.98761,                0.62711,                 1.4206,                0.62348,                 1.5083,              0.0004754,              0.0004754,              0.0004754
                     80,                0.69595,                0.41054,                 1.0196,                0.99272,                0.89474,                0.97744,                0.61552,                 1.4745,                0.63807,                 1.5635,              0.0004556,              0.0004556,              0.0004556
                     81,                0.65398,                0.38524,                 1.0092,                0.94693,                0.93947,                0.97891,                0.60763,                 1.4532,                0.62174,                 1.5395,              0.0004358,              0.0004358,              0.0004358
                     82,                0.68248,                0.40603,                 1.0407,                0.94322,                0.94737,                0.97404,                0.61453,                 1.3742,                0.64691,                 1.4521,               0.000416,               0.000416,               0.000416
                     83,                0.66783,                0.45571,                 1.0506,                      1,                0.94726,                0.97776,                0.63137,                 1.3451,                0.65973,                 1.4158,              0.0003962,              0.0003962,              0.0003962
                     84,                0.58913,                 0.3855,                0.97318,                0.99719,                0.94737,                0.97565,                 0.5895,                 1.3843,                0.60652,                 1.4896,              0.0003764,              0.0003764,              0.0003764
                     85,                0.55635,                0.36648,                0.97145,                0.94422,                0.94737,                0.97301,                 0.6142,                 1.3827,                0.65561,                 1.4855,              0.0003566,              0.0003566,              0.0003566
                     86,                0.68379,                0.40816,                 1.0275,                0.94407,                0.94737,                0.97513,                0.61639,                 1.3787,                0.62713,                  1.479,              0.0003368,              0.0003368,              0.0003368
                     87,                0.56794,                0.36525,                0.98272,                0.94366,                0.94737,                0.98555,                0.64907,                 1.3511,                0.59793,                 1.4741,               0.000317,               0.000317,               0.000317
                     88,                0.57743,                0.36486,                0.99552,                      1,                0.92914,                0.99024,                0.65639,                 1.3814,                0.58974,                 1.4962,              0.0002972,              0.0002972,              0.0002972
                     89,                0.51064,                0.35447,                0.96377,                      1,                0.93664,                0.99024,                0.64058,                   1.42,                 0.5717,                 1.5246,              0.0002774,              0.0002774,              0.0002774
                     90,                0.59378,                 0.3672,                0.99706,                0.94988,                0.99764,                 0.9925,                0.62982,                 1.4466,                0.56389,                 1.5676,              0.0002576,              0.0002576,              0.0002576
                     91,                0.51547,                0.37002,                0.88294,                   0.95,                0.99998,                 0.9925,                0.62759,                  1.413,                0.52567,                 1.5621,              0.0002378,              0.0002378,              0.0002378
                     92,                 0.5068,                0.31711,                0.90655,                      1,                 0.9974,                  0.995,                0.63463,                 1.4091,                0.52179,                 1.5677,               0.000218,               0.000218,               0.000218
                     93,                0.49037,                0.33744,                0.92389,                      1,                0.99402,                  0.995,                 0.6435,                 1.4189,                0.52046,                 1.5656,              0.0001982,              0.0001982,              0.0001982
                     94,                0.47162,                0.31955,                0.89519,                0.99273,                0.94737,                 0.9925,                0.65339,                 1.4401,                0.56249,                 1.5835,              0.0001784,              0.0001784,              0.0001784
                     95,                0.45989,                0.30395,                0.86857,                0.93772,                0.94737,                0.98555,                0.61829,                 1.4446,                 0.6183,                 1.5732,              0.0001586,              0.0001586,              0.0001586
                     96,                0.43489,                0.30166,                0.88995,                      1,                 0.9322,                 0.9863,                0.66016,                 1.4407,                0.65887,                 1.5797,              0.0001388,              0.0001388,              0.0001388
                     97,                0.48978,                0.30274,                0.90636,                0.99784,                0.94737,                0.98818,                0.65739,                 1.4301,                0.66922,                 1.5704,               0.000119,               0.000119,               0.000119
                     98,                0.45258,                0.29676,                0.87013,                0.99691,                0.94737,                 0.9863,                0.65986,                 1.4176,                0.66965,                 1.5605,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.43288,                0.28107,                0.86752,                 0.9953,                0.94737,                0.98458,                0.64014,                 1.4126,                0.66878,                 1.5589,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.42402,                0.27562,                 0.8711,                0.99373,                0.94737,                0.98458,                0.62742,                 1.4177,                0.67104,                 1.5661,               5.96e-05,               5.96e-05,               5.96e-05
